Statement_id,Title,Category,Technology_Bucket,Datasetfile,Description,Department,Organisation
SIH1524,"Innovating for Sustainability: Driving Smart Resource Conservation (Energy & Water) in Home Appliances (Refrigerators, Air Conditioners, Washing Machines and Desert Air Coolers)",Hardware,Smart Resource Conservation,NULL,"Innovating for Sustainability: Driving Smart Resource Conservation (Energy & Water) in Home Appliances (Refrigerators, Air Conditioners, Washing Machines and Desert Air Coolers)",Godrej Appliances,Godrej Appliances
SIH1525,"Innovating for Sustainability: Driving Smart Resource Conservation (Energy & Water) in Home Appliances (Refrigerators, Air Conditioners, Washing Machines and Desert Air Coolers)",Software,Smart Resource Conservation,NULL,"Innovating for Sustainability: Driving Smart Resource Conservation (Energy & Water) in Home Appliances (Refrigerators, Air Conditioners, Washing Machines and Desert Air Coolers)",Godrej Appliances,Godrej Appliances
SIH1526,Student Innovation,Hardware,Smart Education,NULL,"Smart Education, a Concept that Describes learning in digital age.it enables learner to learn more effectively, efficently, flexibly and comfortably.",AICTE,"AICTE, MIC-Student Innovation"
SIH1527,Student Innovation,Hardware,Disaster Management,NULL,"Disaster Management includes ideas related to risk mitigation and Planning before, after or Duration of Disaster.",AICTE,"AICTE, MIC-Student Innovation"
SIH1528,Student Innovation,Hardware,Miscellaneous,NULL,"Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.",AICTE,"AICTE, MIC-Student Innovation"
SIH1529,Student Innovation,Hardware,Blockchain & Cybersecurity,NULL,Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors,AICTE,"AICTE, MIC-Student Innovation"
SIH1530,Student Innovation,Hardware,Renewable / Sustainable Energy,NULL,Innovative ideas that help manage and generate renewable /sustainable sources more efficiently.,AICTE,"AICTE, MIC-Student Innovation"
SIH1531,Student Innovation,Hardware,Travel & Tourism,NULL,"A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.",AICTE,"AICTE, MIC-Student Innovation"
SIH1532,Student Innovation,Hardware,Clean & Green Technology,NULL,"Solutions could be in the form of waste segregation, disposal, and improve sanitization system.",AICTE,"AICTE, MIC-Student Innovation"
SIH1533,Student Innovation,Hardware,Robotics and Drones,NULL,"There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.",AICTE,"AICTE, MIC-Student Innovation"
SIH1534,Student Innovation,Hardware,Transportation & Logistics,NULL,"Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure",AICTE,"AICTE, MIC-Student Innovation"
SIH1535,Student Innovation,Hardware,Smart Vehicles,NULL,Creating intelligent devices to improve the commutation sector,AICTE,"AICTE, MIC-Student Innovation"
SIH1536,Student Innovation,Hardware,"Agriculture, FoodTech & Rural Development",NULL,"Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce",AICTE,"AICTE, MIC-Student Innovation"
